,period,short_des,temp
0,NOW: Multiplehazards in effect,Click HERE for Details,no data
1,ThisAfternoon,Heavy Snowand Blustery,no data
2,Tonight,Slight ChanceSnow Showersand Blusterythen MostlyClear,no data
3,Sunday,Sunny,no data
4,SundayNight,Mostly Clear,no data
5,Monday,Mostly Sunny,no data
6,MondayNight,Partly Cloudy,no data
7,Tuesday,Mostly Sunny,no data
8,TuesdayNight,Partly Cloudy,no data
